9,4,0.1878
10,4,0.2489
11,4,0.1861
12,4,0.1685
13,4,0.1372
11,5,0.1377
12,5,0.1344
13,5,0.1323
14,5,0.0818
15,5,0.0781
11,6,0.1259
12,6,0.1591
13,6,0.1097
10,7,0.1303
11,7,0.1227
12,7,0.1214
13,7,0.1072
14,7,0.1235
13,8,0.0933
14,8,0.125
15,8,0.1115
16,8,0.1
41,8,0.0883
46,8,0.1525
12,9,0.0814
14,9,0.0964
15,9,0.1353
16,9,0.1551
17,9,0.1103
18,9,0.0827
14,10,0.1762
15,10,0.1827
16,10,0.1927
17,10,0.1864
18,10,0.1477
19,10,0.0912
16,11,0.0858
17,11,0.1194
18,11,0.1489
19,11,0.134
20,11,0.0924
21,11,0.0809
16,12,0.1461
17,12,0.1151
18,12,0.1674
19,12,0.1971
20,12,0.1433
21,12,0.1259
18,13,0.1142
19,13,0.1722
20,13,0.1909
21,13,0.1539
22,13,0.0955
23,13,0.0929
20,14,0.1044
21,14,0.1195
22,14,0.1531
23,14,0.1142
24,14,0.0953
20,15,0.1127
21,15,0.1216
22,15,0.1347
23,15,0.1454
24,15,0.1198
25,15,0.0923
22,16,0.0777
23,16,0.1082
24,16,0.137
25,16,0.1268
26,16,0.0964
27,16,0.077
47,16,0.1952
24,17,0.1017
25,17,0.1143
26,17,0.1136
25,18,0.0872
26,18,0.1063
27,18,0.1124
28,18,0.1016
28,20,0.0819
29,20,0.0884
30,20,0.0876
7,2,0.1731
8,2,0.308
9,2,0.1989
10,2,0.1028
7,3,0.5218
8,3,0.7054
9,3,0.6691
10,3,0.3818
11,3,0.1814
12,3,0.1668
13,3,0.0957
7,4,0.1422
8,4,0.3789
9,4,0.7064
10,4,1.0619
11,4,1.0736
12,4,0.766
13,4,0.4851
14,4,0.2479
15,4,0.1444
7,5,0.1057
8,5,0.3687
9,5,0.9201
10,5,1.4324
11,5,1.3264
12,5,1.0987
13,5,0.9458
14,5,0.7315
15,5,0.5157
16,5,0.3348
17,5,0.2068
18,5,0.1282
19,5,0.094
9,6,0.2054
10,6,0.9384
